Date,Ventilators - Total Capacity,Ventilators in Use - Total,Ventilators in Use - COVID-19,Ventilators in Use - COVID-19 Patients,Ventilators in Use - COVID-19 PUI,Ventilators in Use - Non-COVID-19,Ventilators Available - Total,Ventilators Available - Hospital,Ventilators Available - EAMC Cache,Ventilator Surge Capacity,ICU Beds - Total Capacity,ICU Beds - Adult,ICU Beds - Pediatric,ICU Beds in Use - Total,ICU Beds in Use - COVID-19,ICU Beds in Use - COVID-19 Patients,ICU Beds in Use - COVID-19 PUI,ICU Beds in Use - Non-COVID-19,ICU Beds Available - Total,ICU Beds Available - Adult,ICU Beds Available - Pediatric,ICU Beds Surge Capacity - Adult,ICU Beds Surge Capacity - Pediatric,Acute Non-ICE Beds - Total Capacity,Acute Non-ICU Beds in Use - Total,Acute Non-ICU Beds in Use - COVID-19,Acute Non-ICU Beds in Use - COVID-19 Patients,Acute Non-ICU Beds in Use - COVID-19 PUI,Acute Non-ICU Beds in Use- Non-COVID-19,Acute Non-ICU Beds Available - Total,Combined Hospital Beds in Use - COVID-19,Daily Update PDF,Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,0,4,13,5,5,5,0,0,0,7,25,0,4,2,4,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,0,9,2,7,6,3,3,1,0,17,12,2,2,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,0,3,8,9,8,5,4,3,0,13,27,0,6,4,12,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,1,1,14,21,18,12,7,4,1,0,37,41,0,8,6,25,30,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,1,0,15,21,18,17,19,2,4,0,36,58,2,7,3,38,40,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,1,2,31,33,41,23,18,12,5,0,81,84,0,20,8,67,62,3,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
03/19/2020,960,388,13,4,9,375,572,448,124,,971,786,185,756,69,26,43,687,215,170,45,,,6516,5000,,,,,1516,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.20_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/19/2020,186,2,5,35,48,36,25,18,17,2,0,86,98,2,19,10,80,64,7,6,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
03/20/2020,995,388,50,26,24,338,607,483,124,,971,786,185,715,105,41,64,610,256,215,41,,,6518,4976,,,,,1542,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.21_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/20/2020,154,0,2,23,22,31,30,27,15,4,0,69,85,0,20,6,76,38,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/21/2020,997,416,41,24,17,375,581,457,124,,971,786,185,692,121,35,86,571,279,233,46,,,6518,4548,,,,,1970,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.22_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/21/2020,125,2,0,18,25,20,28,16,13,5,0,53,72,0,24,6,61,26,4,4,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0
03/22/2020,1014,444,62,31,31,382,570,446,124,,966,781,185,730,128,39,89,602,236,194,42,,,6529,4578,,,,,1951,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.23_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/22/2020,168,2,6,23,28,31,36,24,14,6,0,74,94,0,22,6,81,47,8,4,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0
03/23/2020,1043,425,76,38,38,349,618,494,124,,966,781,185,630,139,55,84,491,336,275,61,,,6529,4687,,,,,1842,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.24_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/23/2020,292,3,4,46,56,54,56,30,35,11,0,141,151,0,38,12,132,73,13,24,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0
03/24/2020,1043,461,102,52,50,359,582,458,124,,966,781,185,674,159,60,99,515,292,230,62,,,6538,4702,,,,,1836,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.25_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/24/2020,354,2,1,59,69,58,58,61,34,14,0,161,192,1,63,13,159,84,9,26,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0
03/25/2020,1048,476,133,79,54,343,572,448,124,203,966,781,185,667,192,89,103,475,299,256,43,197,30,6548,4224,,,,,2324,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.26_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/25/2020,367,5,2,51,71,71,83,33,36,20,0,170,196,1,49,10,183,85,18,22,0,0,1,0,1,1,0,2,0,3,2,0,1,0,3,1,0,0
03/26/2020,1053,422,127,88,39,295,631,507,124,231,970,785,185,724,250,143,107,474,246,209,37,121,36,6548,4698,,,,,1850,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.27_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/26/2020,416,2,2,66,74,79,96,53,36,10,0,184,230,2,76,12,200,91,13,24,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0
03/27/2020,1042,479,170,108,62,309,563,439,124,235,970,785,185,725,252,140,112,473,245,201,44,152,35,6564,4578,,,,,1986,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.28_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/27/2020,404,8,4,43,62,86,101,48,37,22,1,210,192,2,68,10,206,70,13,37,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0
03/28/2020,1053,495,180,121,59,315,558,434,124,213,970,785,185,743,272,156,116,471,227,191,36,183,17,6580,4796,,,,,1784,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.29_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/28/2020,252,4,2,29,53,38,45,38,28,19,0,137,113,2,37,6,133,43,10,23,0,0,0,0,2,0,1,1,0,1,3,0,1,0,3,0,0,0
03/29/2020,1078,544,211,149,62,333,534,410,124,196,970,785,185,762,307,196,111,455,208,174,34,218,8,6580,4942,,,,,1638,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.30_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/29/2020,281,21,4,30,47,54,50,48,30,18,0,127,154,0,54,11,142,37,10,27,0,1,0,1,4,4,6,5,0,4,17,0,2,2,15,2,0,0
03/30/2020,1157,597,215,140,75,382,560,436,124,214,969,786,183,732,315,180,135,417,237,197,40,176,24,6602,4694,,,,,1908,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.31_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/30/2020,441,12,6,54,78,79,82,61,43,38,0,221,220,0,83,12,210,75,19,42,0,0,1,1,2,2,5,1,0,4,8,0,3,1,6,2,0,0
03/31/2020,1166,610,219,163,56,391,556,432,124,206,975,792,183,740,328,213,115,412,235,197,38,167,24,6556,4587,,,,,1969,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.03.32_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,03/31/2020,486,16,5,57,104,96,92,68,37,27,0,255,223,8,105,15,216,80,16,54,0,0,0,4,1,0,5,6,0,6,10,0,2,0,14,0,0,0
04/01/2020,1210,603,246,187,59,357,607,483,124,270,984,801,183,758,386,243,143,372,226,176,50,222,26,6556,4661,,,,,1895,,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.02_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/01/2020,459,24,3,54,69,87,84,92,41,29,0,237,202,20,98,19,220,62,15,45,0,0,1,1,1,7,6,8,0,12,12,0,3,1,19,0,0,1
04/02/2020,1206,611,279,200,79,332,595,471,124,266,979,799,180,764,382,265,117,382,215,167,48,240,33,6544,4465,693,,,3772,2079,1075,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.03_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/02/2020,437,15,2,59,69,84,92,56,41,34,0,208,224,5,89,13,224,57,15,39,0,0,0,1,2,1,7,4,0,5,10,0,2,2,9,2,0,0
04/03/2020,1300,649,275,196,79,374,651,527,124,236,979,799,180,749,373,264,109,376,230,188,42,144,30,6543,4490,791,,,3699,2053,1164,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.04_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/03/2020,463,24,2,73,63,77,92,77,47,31,1,253,208,2,112,23,182,78,15,53,0,0,1,2,2,4,6,9,0,12,12,0,3,0,19,2,0,0
04/04/2020,1230,662,312,224,88,350,568,518,50,247,979,799,180,699,426,272,154,273,280,210,70,175,34,6523,4520,788,,,3732,2003,1214,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.05_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/04/2020,322,22,2,33,36,61,70,63,33,24,0,150,172,0,70,14,140,41,19,38,0,0,0,3,4,4,4,7,0,13,9,0,3,1,14,4,0,0
04/05/2020,1259,656,303,223,80,353,603,553,50,226,979,799,180,681,409,283,126,272,298,229,69,167,24,6523,4484,850,,,3634,2039,1259,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.06_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/05/2020,293,26,3,31,48,49,73,43,22,24,0,126,164,3,68,11,112,54,13,35,0,0,0,2,5,2,10,7,0,8,18,0,4,0,18,4,0,0
04/06/2020,1237,639,323,233,90,316,598,548,50,237,1010,830,180,774,426,314,112,348,236,180,56,218,35,6617,4559,889,,,3670,2058,1315,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.07_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/06/2020,579,22,5,76,94,102,112,95,54,41,0,295,269,15,135,19,217,93,25,90,0,0,0,2,5,1,8,6,0,9,13,0,3,0,16,3,0,0
04/07/2020,1250,637,326,252,74,311,613,563,50,237,1057,877,180,795,421,319,102,374,262,207,55,201,24,6918,5041,905,,,4136,1877,1326,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.08_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/07/2020,544,25,2,80,107,91,81,79,54,50,0,285,252,7,163,16,188,88,26,63,0,0,0,1,5,4,10,5,0,11,14,0,6,0,16,1,2,0
04/08/2020,1269,645,306,245,61,339,624,574,50,260,1062,882,180,800,449,333,116,351,262,216,46,162,28,7214,5297,967,,,4330,1917,1416,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.09_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/08/2020,693,35,11,81,99,104,154,129,68,47,0,312,340,41,169,21,295,100,33,75,0,0,0,1,6,8,9,11,0,13,22,0,2,2,21,10,0,0
04/09/2020,1265,652,306,251,55,346,613,563,50,266,1101,887,214,853,460,364,96,393,248,173,75,153,30,7182,5343,1000,,,4343,1839,1460,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.10_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/09/2020,575,25,10,80,103,102,130,73,42,35,0,254,312,9,172,23,205,83,29,63,0,0,0,0,3,7,5,10,0,13,12,0,5,1,14,5,0,0
04/10/2020,1291,626,313,269,44,313,665,615,50,297,1164,950,214,893,450,361,89,443,271,215,56,151,32,7243,5246,972,,,4274,1997,1422,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.11_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/10/2020,557,31,20,79,97,96,107,85,39,34,0,252,299,6,160,24,206,74,26,67,0,0,1,2,3,3,9,13,0,10,21,0,3,2,23,3,0,0
04/11/2020,1321,714,316,275,41,398,607,557,50,291,1164,950,214,908,477,391,86,431,256,199,57,133,40,7236,5384,978,,,4406,1852,1455,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.12_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/11/2020,391,33,7,52,70,65,81,53,37,26,0,182,208,1,97,18,141,53,15,67,0,0,1,2,6,7,10,7,0,16,17,0,8,1,22,2,0,0
04/12/2020,1335,638,316,264,52,322,697,647,50,252,1161,947,214,880,426,344,82,454,281,198,83,112,35,7268,5497,1032,,,4465,1771,1458,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.13_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/12/2020,333,33,28,32,55,53,58,42,34,31,0,139,177,17,88,7,113,52,20,53,0,0,1,2,3,11,6,10,0,16,17,0,4,1,20,8,0,0
04/13/2020,1341,658,325,270,55,333,683,633,50,322,1158,944,214,838,446,375,71,392,320,224,96,131,24,7286,5627,1050,,,4577,1659,1496,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.14_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/13/2020,678,33,10,100,112,124,156,86,51,39,0,342,332,4,233,24,203,92,30,96,0,0,1,5,3,8,7,9,0,15,18,0,11,2,17,3,0,0
04/14/2020,1418,733,318,265,53,415,685,635,50,260,1160,946,214,919,462,377,85,457,241,191,50,207,24,7286,5536,1119,,,4417,1750,1581,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.15_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/14/2020,646,34,16,99,120,118,120,73,51,49,0,344,301,1,225,22,185,93,36,85,0,1,2,1,3,5,9,13,0,11,23,0,8,2,12,11,0,1
04/15/2020,1425,686,331,290,41,355,739,689,50,310,1160,946,214,879,482,410,72,397,281,222,59,142,24,7286,5385,1082,,,4303,1901,1564,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.16_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/15/2020,614,31,20,90,102,108,122,83,46,43,0,292,319,3,225,20,173,60,43,93,0,1,1,3,2,5,5,14,0,8,23,0,9,3,15,4,0,0
04/16/2020,1403,671,331,296,35,340,732,682,50,314,1160,946,214,864,465,401,64,399,296,212,84,138,38,7286,5194,1138,,,4056,2092,1603,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.17_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/16/2020,670,31,8,116,115,116,119,93,61,42,0,311,351,8,228,14,196,90,28,114,0,0,0,2,2,7,8,12,0,14,17,0,5,3,16,7,0,0
04/17/2020,1419,712,313,276,37,399,707,657,50,321,1160,946,214,871,473,411,62,398,289,207,82,149,35,7369,5329,1053,,,4276,2040,1526,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.18_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/17/2020,757,41,16,128,124,144,142,112,45,46,0,379,374,4,280,21,198,110,45,103,0,0,1,2,4,7,13,14,0,13,28,0,10,2,18,10,0,1
04/18/2020,1409,725,315,278,37,410,684,634,50,244,1160,946,214,924,465,400,65,459,236,175,61,121,35,7369,5605,1008,,,4597,1764,1473,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.19_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/18/2020,527,37,13,85,100,96,90,78,44,21,0,239,283,5,170,18,156,54,25,104,0,0,0,3,4,8,12,10,0,19,18,0,12,5,18,2,0,0
04/19/2020,1409,732,323,289,34,409,677,627,50,238,1160,946,214,905,486,399,87,419,255,190,65,119,6,7369,5524,1128,,,4396,1845,1614,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.20_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/19/2020,457,36,7,68,61,66,75,72,48,60,0,208,247,2,139,20,169,53,25,51,0,0,0,3,7,8,5,13,0,11,25,0,14,4,13,4,1,0
04/20/2020,1400,745,349,307,42,396,655,605,50,272,1160,946,214,918,472,399,73,446,242,182,60,123,24,7368,5529,1228,,,4301,1839,1700,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.21_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/20/2020,974,38,23,155,178,206,192,124,54,41,1,474,490,10,393,26,239,113,45,158,0,0,1,1,4,5,9,18,0,15,23,0,11,2,15,10,0,0
04/21/2020,1420,741,314,283,31,427,679,629,50,236,1160,946,214,900,477,401,76,423,260,176,84,115,24,7368,5502,1191,,,4311,1866,1668,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.22_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/21/2020,858,34,19,147,158,156,148,107,56,67,0,432,417,9,345,12,198,108,37,158,0,1,0,2,0,7,10,14,0,13,21,0,11,2,17,4,0,0
04/22/2020,1413,770,328,290,38,442,643,593,50,254,1160,946,214,943,499,416,83,444,217,160,57,130,25,7368,5719,1292,,,4427,1649,1791,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.23_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/22/2020,1037,45,32,168,165,164,208,147,64,88,1,501,470,66,418,22,216,96,47,238,0,0,3,2,6,14,8,12,0,20,25,0,9,0,26,9,1,0
04/23/2020,1395,700,281,238,43,419,695,645,50,264,1187,973,214,933,475,390,85,458,254,178,76,116,36,7410,5569,1228,,,4341,1841,1703,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.24_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/23/2020,1441,34,32,192,201,220,232,238,158,167,1,710,630,101,454,21,306,168,76,416,0,1,1,4,2,9,7,10,0,8,26,0,12,2,14,6,0,0
04/24/2020,1756,311,335,292,43,-24,1445,1395,50,377,1330,1116,214,1095,482,396,86,613,235,178,57,151,25,7508,5653,1210,,,4443,1855,1692,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.25_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/24/2020,1058,51,28,178,170,182,183,157,72,88,0,477,521,60,402,28,194,137,62,235,0,1,2,0,6,12,13,17,0,18,33,0,12,2,21,14,2,0
04/25/2020,1684,419,323,285,38,96,1265,1215,50,326,1366,1152,214,1092,508,422,86,584,274,202,72,121,39,7502,5598,1111,,,4487,1904,1619,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.26_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/25/2020,616,39,31,116,120,128,101,65,31,24,0,299,315,2,259,14,104,67,24,148,0,0,2,1,6,6,11,13,0,14,25,0,12,2,19,6,0,0
04/26/2020,1778,840,341,305,36,499,938,888,50,368,1366,1152,214,1118,524,437,87,594,248,175,73,115,24,7528,5620,1161,,,4459,1908,1685,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.27_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/26/2020,425,49,12,82,54,95,65,56,32,29,0,221,201,3,147,16,86,55,24,97,0,1,0,4,3,13,11,17,0,22,27,0,18,2,23,6,0,0
04/27/2020,1943,995,345,312,33,650,948,898,50,306,1379,1165,214,1126,502,441,61,624,253,187,66,136,24,7540,5791,1150,,,4641,1749,1652,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.28_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/27/2020,1137,35,42,229,200,230,198,123,50,65,0,558,548,31,501,23,172,101,67,273,0,0,0,1,3,4,14,13,0,11,24,0,8,1,19,7,0,0
04/28/2020,2103,1025,339,313,26,686,1078,1028,50,335,1333,1119,214,1065,505,421,84,560,268,183,85,131,35,7541,5706,1316,,,4390,1835,1821,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.29_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/28/2020,1285,54,67,243,228,248,243,148,61,47,0,596,649,40,559,15,210,87,84,330,0,0,0,3,5,9,9,28,0,22,32,0,11,5,25,13,0,0
04/29/2020,1999,1017,342,328,14,675,982,932,50,336,1333,1119,214,1055,511,443,68,544,278,203,75,112,25,7546,5686,1253,,,4433,1860,1764,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.30_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/29/2020,1139,42,54,205,227,217,199,117,61,59,0,524,578,37,501,15,159,108,47,309,0,1,1,3,4,5,9,19,0,20,22,0,16,3,13,10,0,0
04/30/2020,1979,1050,339,320,19,711,929,879,50,331,1333,1119,214,1058,477,417,60,581,275,202,73,113,4,7543,5437,1194,,,4243,2106,1671,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.31_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,04/30/2020,1250,37,57,225,221,221,183,149,93,101,0,608,615,27,526,18,192,142,50,322,0,0,3,0,3,8,11,12,0,16,21,0,13,1,16,6,0,1
05/01/2020,1937,1008,361,338,23,647,929,879,50,268,1353,1139,214,1036,470,429,41,566,317,242,75,106,21,7541,5698,1230,,,4468,1843,1700,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.02_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf,05/01/2020,1149,38,57,222,216,199,190,132,69,64,0,604,514,31,521,26,179,106,46,271,0,1,0,1,4,11,8,13,0,13,25,0,12,1,15,9,0,1
